"possible.fs","powers"
5,0.63
6,0.675
7,0.725
8,0.77
9,0.74
10,0.76
11,0.87
12,0.825
13,0.79
14,0.815
15,0.835
16,0.855
17,0.85
18,0.85
19,0.905
20,0.87
